package,status,kali_categories,domain,summary
freerdp3-sdl,installable-missing,none-detected,general-ops,RDP client for Windows Terminal Services (SDL client transitional package)
freerdp3-shadow-x11,installable-missing,none-detected,general-ops,FreeRDP x11 shadowing server (transitional package)
freerdp3-wayland,installable-missing,none-detected,general-ops,RDP client for Windows Terminal Services (wayland client transitional package)
freerdp3-x11,installed,none-detected,general-ops,RDP client for Windows Terminal Services (X11 client tramsitional package)
libfreerdp-client3-3,installed,none-detected,development-support,Free Remote Desktop Protocol library (client library)
libfreerdp-server-proxy3-3,installable-missing,none-detected,development-support,Free Remote Desktop Protocol library (proxy library)
libfreerdp-server3-3,installable-missing,none-detected,development-support,Free Remote Desktop Protocol library (server library)
libfreerdp-shadow-subsystem3-3,installable-missing,none-detected,general-ops,FreeRDP Remote Desktop Protocol shadow subsystem libraries
libfreerdp-shadow3-3,installable-missing,none-detected,general-ops,FreeRDP Remote Desktop Protocol shadow libraries
libfreerdp3-3,installed,none-detected,development-support,Free Remote Desktop Protocol library (core library)
libwinpr-tools3-3,installable-missing,none-detected,development-support,Windows Portable Runtime Tools library
libwinpr3-3,installed,none-detected,development-support,Windows Portable Runtime library
libwinpr3-dev,installable-missing,none-detected,development-support,Windows Portable Runtime library (development files)
winpr-utils,installable-missing,none-detected,development-support,Windows Portable Runtime library command line utilities
winpr3-utils,installable-missing,none-detected,development-support,Windows Portable Runtime library command line utilities (transitional package)
winpr-hash3,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
ftester,installed,none-detected,defensive-monitoring,Tool for testing firewalls and Intrusion Detection System (IDS)
fuse3,installed,none-detected,general-ops,Filesystem in Userspace (3.x version)
fuse,installable-missing,none-detected,general-ops,Filesystem in Userspace (transitional package)
fuse3-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libfuse3-4,installed,none-detected,development-support,Filesystem in Userspace (library) (3.x version)
libfuse3-4-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libfuse3-dev,installable-missing,none-detected,development-support,Filesystem in Userspace (development) (3.x version)
fwbuilder,installed,none-detected,general-ops,Firewall administration tool GUI
fwbuilder-common,installed,none-detected,general-ops,Firewall administration tool GUI (common files)
fwbuilder-doc,installable-missing,none-detected,development-support,Firewall administration tool GUI documentation
galleta,installed,none-detected,forensics-ir,Internet Explorer cookie forensic analysis tool
gdb,installed,none-detected,reverse-fuzzing,GNU Debugger
gdb-minimal,installable-missing,none-detected,reverse-fuzzing,GNU Debugger (minimal version - dummy transitional package)
gdb-multiarch,installable-missing,none-detected,reverse-fuzzing,GNU Debugger (with support for multiple architectures)
gdb-source,installable-missing,none-detected,reverse-fuzzing,GNU Debugger (source)
gdbserver,installable-missing,none-detected,reverse-fuzzing,GNU Debugger (remote server)
gdb-peda,installed,none-detected,exploitation-c2,Python Exploit Development Assistance for GDB
gdisk,installed,none-detected,general-ops,GPT fdisk text-mode partitioning tool
gef,installed,none-detected,general-ops,modern experience for GDB with advanced debugging capabilities
gemini-cli,installed,none-detected,general-ops,open-source AI agent
getallurls,installed,none-detected,general-ops,fetch known URLs from AlienVault's Open Threat Exchange (gau)
getsploit,installed,none-detected,exploitation-c2,Command line utility for searching and downloading exploits
ghidra,installed,kali-resource-development;kali-respond,reverse-fuzzing,Software Reverse Engineering Framework
git,installed,none-detected,general-ops,"fast, scalable, distributed revision control system"
git-all,installable-missing,none-detected,general-ops,"fast, scalable, distributed revision control system (all subpackages)"
git-cvs,installable-missing,none-detected,general-ops,"fast, scalable, distributed revision control system (cvs interoperability)"
git-doc,installable-missing,none-detected,development-support,"fast, scalable, distributed revision control system (documentation)"
git-email,installable-missing,none-detected,general-ops,"fast, scalable, distributed revision control system (email add-on)"
git-gui,installable-missing,none-detected,general-ops,"fast, scalable, distributed revision control system (GUI)"
git-man,installed,none-detected,general-ops,"fast, scalable, distributed revision control system (manual pages)"
git-svn,installable-missing,none-detected,general-ops,"fast, scalable, distributed revision control system (svn interoperability)"
gitk,installable-missing,none-detected,general-ops,"fast, scalable, distributed revision control system (revision tree visualizer)"
gitweb,installable-missing,none-detected,wireless-rf,"fast, scalable, distributed revision control system (web interface)"
gitleaks,installed,none-detected,general-ops,protect and discover secrets using Gitleaks 🔑 (program)
gitxray,installed,none-detected,general-ops,Scan GitHub repositories and contributors to collect data
glibc,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
glibc-doc,installable-missing,none-detected,development-support,GNU C Library: Documentation
glibc-source,installable-missing,none-detected,development-support,GNU C Library: sources
libc-bin,installed,none-detected,development-support,GNU C Library: Binaries
libc-dev-bin,installed,none-detected,development-support,GNU C Library: Development binaries
libc-devtools,installable-missing,none-detected,development-support,GNU C Library: Development tools
libc-gconv-modules-extra,installed,none-detected,development-support,GNU C Library: Non-essential gconv modules
libc-l10n,installed,none-detected,development-support,GNU C Library: localization files
libc0.3,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc0.3-dbg,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc0.3-dev,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc0.3-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6,installed,none-detected,development-support,GNU C Library: Shared libraries
libc6-amd64,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-dbg,installable-missing,none-detected,development-support,GNU C Library: detached debugging symbols
libc6-dev,installed,none-detected,development-support,GNU C Library: Development Libraries and Header Files
libc6-dev-amd64,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-i386,installable-missing,none-detected,development-support,GNU C Library: 32-bit development libraries for AMD64
libc6-dev-mips32,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-mips64,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-mipsn32,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-powerpc,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-ppc64,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-sparc,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-sparc64,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6-dev-x32,installable-missing,none-detected,development-support,GNU C Library: X32 ABI Development Libraries for AMD64
libc6-i386,installed,none-detected,development-support,GNU C Library: 32-bit shared libraries for AMD64
libc6-mips32,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-mips64,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-mipsn32,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-powerpc,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-ppc64,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-sparc,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-sparc64,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6-x32,installable-missing,none-detected,development-support,GNU C Library: X32 ABI Shared libraries for AMD64
libc6.1,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6.1-dbg,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libc6.1-dev,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
libc6.1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
locales,installable-missing,none-detected,development-support,GNU C Library: National Language (locale) data [support]
locales-all,installed,none-detected,development-support,GNU C Library: Precompiled locale data
nscd,installable-missing,none-detected,development-support,GNU C Library: Name Service Cache Daemon
gnuradio,installed,none-detected,general-ops,GNU Radio Software Radio Toolkit
gnuradio-dev,installable-missing,none-detected,development-support,GNU Software Defined Radio toolkit development
gnuradio-doc,installable-missing,none-detected,development-support,GNU Software Defined Radio toolkit documentation
libgnuradio-analog3.10.12,installed,none-detected,general-ops,gnuradio analog functions
libgnuradio-audio3.10.12,installed,none-detected,general-ops,gnuradio audio functions
libgnuradio-blocks3.10.12,installed,none-detected,general-ops,gnuradio blocks functions
libgnuradio-channels3.10.12,installed,none-detected,general-ops,gnuradio channels functions
libgnuradio-digital3.10.12,installed,none-detected,general-ops,gnuradio digital communications functions
libgnuradio-dtv3.10.12,installed,none-detected,general-ops,gnuradio digital TV signal processing blocks
libgnuradio-fec3.10.12,installed,none-detected,general-ops,gnuradio forward error correction support
libgnuradio-fft3.10.12,installed,none-detected,general-ops,gnuradio fast Fourier transform functions
libgnuradio-filter3.10.12,installed,none-detected,general-ops,gnuradio filter functions
libgnuradio-iio3.10.12,installed,none-detected,general-ops,IIO blocks for GnuRadio
libgnuradio-network3.10.12,installed,none-detected,development-support,gnuradio network library
libgnuradio-pdu3.10.12,installed,none-detected,development-support,gnuradio streaming protocol library
libgnuradio-pmt3.10.12,installed,none-detected,cloud-container,gnuradio pmt container library
libgnuradio-qtgui3.10.12,installed,none-detected,wireless-rf,gnuradio Qt graphical user interface functions
libgnuradio-runtime3.10.12,installed,none-detected,general-ops,gnuradio core runtime
libgnuradio-soapy3.10.12,installed,none-detected,wireless-rf,gnuradio SoapySDR support
libgnuradio-trellis3.10.12,installed,none-detected,general-ops,gnuradio trellis modulation functions
libgnuradio-uhd3.10.12,installed,none-detected,general-ops,gnuradio universal hardware driver functions
libgnuradio-video-sdl3.10.12,installed,none-detected,general-ops,gnuradio video functions
libgnuradio-vocoder3.10.12,installed,none-detected,general-ops,gnuradio vocoder functions
libgnuradio-wavelet3.10.12,installed,none-detected,general-ops,gnuradio wavelet functions
libgnuradio-zeromq3.10.12,installed,none-detected,general-ops,gnuradio zeromq functions
gobuster,installed,kali-reconnaissance;kali-web-scanning,reconnaissance,"high-performance discovery tool for directories, DNS and cloud storage"
godoh,installed,none-detected,web-app,DNS-over-HTTPS Command & Control Proof of Concept
golang-github-binject-go-donut,installed,none-detected,general-ops,Donut Injector in Go
golang-github-binject-go-donut-dev,installable-missing,none-detected,development-support,Donut Injector in Go
goldeneye,installed,none-detected,web-app,HTTP DoS test tool
goofile,installed,none-detected,general-ops,Command line filetype search
google-nexus-tools,installed,none-detected,general-ops,ADB and Fastboot for use with Nexus devices
gophish,installed,kali-initial-access;kali-system-services,general-ops,Open-Source Phishing Toolkit
goshs,installed,none-detected,web-app,SimpleHTTPServer written in Go
gospider,installed,none-detected,web-app,Fast web spider written in Go
gowitness,installed,none-detected,web-app,Web screenshot utility using Chrome Headless
gpart,installed,none-detected,general-ops,"Guess PC disk partition table, find lost partitions"
gparted,installed,none-detected,general-ops,GNOME partition editor
gparted-common,installed,none-detected,general-ops,GNOME partition editor -- common data
gpp-decrypt,installed,none-detected,general-ops,Group Policy Preferences decrypter
gqrx-sdr,installed,none-detected,wireless-rf,Software defined radio receiver
gr-air-modes,installed,none-detected,general-ops,Gnuradio Mode-S/ADS-B radio
libgnuradio-air-modes1t64,installed,none-detected,development-support,Gnuradio Mode-S/ADS-B radio - library
gr-iqbal,installed,none-detected,general-ops,GNU Radio Blind IQ imbalance estimator and correction
libgnuradio-iqbalance3.9.0,installed,none-detected,development-support,GNU Radio Blind IQ imbalance estimator and correction (shared library)
gr-osmosdr,installed,none-detected,wireless-rf,GNU Radio blocks from the OsmoSDR project
gr-osmosdr-doc,installable-missing,none-detected,wireless-rf,Gnuradio blocks from the OsmoSDR project - documentation
libgnuradio-osmosdr0.2.0t64,installed,none-detected,wireless-rf,GNU Radio blocks from the OsmoSDR project - library
graudit,installed,none-detected,defensive-monitoring,grep rough audit - source code auditing tool
grokevt,installed,none-detected,general-ops,scripts for reading Microsoft Windows event log files
gsocket,installed,none-detected,general-ops,Allows two machines on different networks to communicate with each other
gss-ntlmssp,installable-missing,none-detected,credential-access,GSSAPI NTLMSSP Mechanism -- MIT GSSAPI plugin
gss-ntlmssp-dev,installable-missing,none-detected,credential-access,GSSAPI NTLMSSP Mechanism -- development headers
gtkhash,installed,none-detected,general-ops,GTK+ utility for computing checksums and more
caja-gtkhash,installable-missing,none-detected,general-ops,caja extension for computing checksums and more using gtkhash
nemo-gtkhash,installable-missing,none-detected,general-ops,nemo extension for computing checksums and more using gtkhash
thunar-gtkhash,installable-missing,none-detected,general-ops,thunar extension for computing checksums and more using gtkhash
guymager,installed,none-detected,forensics-ir,Forensic imaging tool based on Qt
gvm,installed,none-detected,defensive-monitoring,remote network security auditor - metapackage and useful scripts
h8mail,installed,none-detected,general-ops,email open source intelligence and breach hunting tool
hackrf,installed,none-detected,wireless-rf,Software defined radio peripheral - utilities
hackrf-doc,installable-missing,none-detected,wireless-rf,Software defined radio peripheral - documentation
hackrf-firmware,installable-missing,none-detected,wireless-rf,Firmware for HackRF devices
libhackrf-dev,installable-missing,none-detected,wireless-rf,Software defined radio peripheral - development
libhackrf0,installed,none-detected,wireless-rf,Software defined radio peripheral - runtime library
hak5-wifi-coconut,installed,none-detected,wireless-rf,Userspace driver for the Hak5 Wi-Fi Coconut
hakrawler,installed,none-detected,web-app,"Web crawler designed for easy, quick discovery of endpoints and assets"
hamster-sidejack,installed,none-detected,general-ops,Sidejacking tool
hash-identifier,installed,kali-hash-identification,general-ops,Tool to identify hash types
hashcat,installed,kali-credential-access;kali-password-cracking,credential-access,World's fastest and most advanced password recovery utility
hashcat-data,installed,none-detected,credential-access,Data files for hashcat advanced password recovery utility
hashcat-utils,installed,none-detected,credential-access,Set of small utilities for advanced password cracking
hashdeep,installed,kali-forensics,forensics-ir,recursively compute hashsums or piecewise hashings
hashid,installed,kali-hash-identification,general-ops,Identify the different types of hashes used to encrypt data
hashrat,installed,none-detected,general-ops,hashing tool supporting several hashes and recursivity
havoc,installed,none-detected,exploitation-c2,Modern and malleable post-exploitation C2 framework
hb-honeypot,installed,none-detected,general-ops,Heartbleed Honeypot Script
hcxtools,installed,none-detected,credential-access,Tools for converting captures to use with hashcat or John the Ripper
heartleech,installed,none-detected,crypto-stego,Scanner detecting systems vulnerable to the heartbleed OpenSSL bug
hekatomb,installed,none-detected,credential-access,Extract and decrypt all credentials from all domain computers
hexinject,installed,none-detected,general-ops,Versatile packet injector and sniffer
hexstrike-ai,installed,none-detected,general-ops,AI-Powered MCP Cybersecurity Automation Platform
hexwalk,installed,none-detected,general-ops,"Hex analyzer, editor and viewer"
hivex,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libhivex-bin,installed,none-detected,general-ops,utilities for reading and writing Windows Registry hives
libhivex-dev,installable-missing,none-detected,development-support,library for reading and writing Windows Registry hives
libhivex-ocaml,installable-missing,none-detected,general-ops,OCaml bindings for hivex -- runtime files
libhivex-ocaml-dev,installable-missing,none-detected,development-support,OCaml bindings for hivex -- development files
libhivex0,installed,none-detected,development-support,library for reading and writing Windows Registry hives
libwin-hivex-perl,installable-missing,none-detected,general-ops,Perl bindings to hivex
python3-hivex,installable-missing,none-detected,general-ops,Python 3 bindings for hivex
ruby-hivex,installable-missing,none-detected,general-ops,Ruby bindings for hivex
hoaxshell,installed,none-detected,web-app,Windows reverse shell payload generator and handler that abuses http(s)
horst,installed,none-detected,general-ops,Highly Optimized Radio Scanning Tool
hostapd-mana,installed,none-detected,general-ops,featureful rogue access point
hostapd-wpe,installed,none-detected,general-ops,Modified hostapd to facilitate AP impersonation attacks
hosthunter,installed,none-detected,general-ops,tool to discover and extract hostnames providing a set of target IP addresses
hostsman,installed,none-detected,general-ops,cross-platform command line tool for handling hosts files
hotpatch,installed,none-detected,general-ops,Hot patches Linux executables with .so file injection
hping3,installed,kali-discovery;kali-remote-system-discovery,general-ops,Active Network Smashing Tool
htshells,installed,none-detected,general-ops,Self contained htaccess shells and attacks
httprint,installed,none-detected,web-app,Web server fingerprinting tool
httprobe,installed,none-detected,web-app,Take a list of domains and probe for working HTTP and HTTPS servers
httpx-toolkit,installed,none-detected,web-app,fast and multi-purpose HTTP toolkit
httrack,installed,none-detected,web-app,Copy websites to your computer (Offline browser)
httrack-doc,installable-missing,none-detected,web-app,Httrack website copier additional documentation
libhttrack-dev,installable-missing,none-detected,web-app,Httrack website copier includes and development files
libhttrack2,installed,none-detected,web-app,Httrack website copier library
proxytrack,installable-missing,none-detected,web-app,Build HTTP Caches using archived websites copied by HTTrack
webhttrack,installable-missing,none-detected,wireless-rf,"Copy websites to your computer, httrack with a Web interface"
webhttrack-common,installable-missing,none-detected,web-app,webhttrack common files
hubble,installed,none-detected,cloud-container,"Network, Service & Security Observability for Kubernetes using eBPF (program)"
humble,installed,none-detected,web-app,HTTP Headers Analyzer
hurl,installed,none-detected,general-ops,Hexadecimal & URL encoder + decoder
hydra,installed,kali-brute-force;kali-credential-access,credential-access,very fast network logon cracker
hyperion,installed,none-detected,general-ops,Runtime encrypter for 32-bit portable executables
i2c-tools,installed,none-detected,general-ops,heterogeneous set of I2C tools for Linux
libi2c-dev,installable-missing,none-detected,development-support,userspace I2C programming library development files
libi2c0,installed,none-detected,development-support,userspace I2C programming library
python3-smbus,installable-missing,none-detected,development-support,Python 3 bindings for Linux SMBus access through i2c-dev
iaxflood,installed,none-detected,general-ops,VoIP flooder tool
ibombshell,installed,none-detected,general-ops,Dynamic Remote Shell
ident-user-enum,installed,none-detected,general-ops,Query ident to determine the owner of a TCP network process
ifenslave,installed,none-detected,wireless-rf,configure network interfaces for parallel routing (bonding)
ike-scan,installed,kali-network-service-discovery,general-ops,discover and fingerprint IKE hosts (IPsec VPN Servers)
imhex,installed,none-detected,reverse-fuzzing,"Hex Editor for Reverse Engineers, Programmers"
impacket,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-impacket,installed,kali-databases;kali-exfiltration;kali-lateral-movement,general-ops,Python3 module to easily build and dissect network protocols
impacket-scripts,installed,kali-application-layer-protocol;kali-pass-the-hash;kali-respond,general-ops,Links to useful impacket scripts examples
inetsim,installed,none-detected,general-ops,Software suite for simulating common internet services
inspectrum,installed,none-detected,general-ops,tool for visualising captured radio signals
inspy,installed,none-detected,general-ops,LinkedIn enumeration tool
instaloader,installed,none-detected,general-ops,Instagram automatic photo downloader
intrace,installed,none-detected,general-ops,Traceroute-like application piggybacking on existing TCP connections
inviteflood,installed,none-detected,general-ops,SIP/SDP INVITE message flooding over UDP/IP
iodine,installed,kali-protocol-tunneling,general-ops,tool for tunneling IPv4 data through a DNS server
ipv6toolkit,installed,none-detected,general-ops,IPv6 assessment and troubleshooting tools
irpas,installed,none-detected,general-ops,Internetwork Routing Protocol Attack Suite
ismtp,installed,none-detected,general-ops,SMTP user enumeration and testing tool
isr-evilgrade,installed,none-detected,general-ops,Evilgrade framework
ivre,installed,none-detected,reconnaissance,network recon framework IVRE or DRUNK
ivre-doc,installable-missing,none-detected,development-support,Documentation for IVRE package
iw,installed,none-detected,wireless-rf,tool for configuring Linux wireless devices
jadx,installed,none-detected,general-ops,Dex to Java decompiler
javasnoop,installed,none-detected,general-ops,Intercept Java applications locally
jboss-autopwn,installed,none-detected,general-ops,JBoss script for obtaining remote shell access
jd-gui,installed,none-detected,general-ops,GUI Java .class decompiler
john,installed,kali-credential-access;kali-password-cracking,credential-access,active password cracking tool
john-data,installed,none-detected,credential-access,active password cracking tool - character sets
johnny,installed,none-detected,general-ops,GUI for John the Ripper
joomscan,installed,none-detected,general-ops,OWASP Joomla Vulnerability Scanner Project
joplin,installed,none-detected,general-ops,open source note taking and to-do application
joplin-cli,installable-missing,none-detected,general-ops,open source note taking and to-do application (CLI)
jsp-file-browser,installed,none-detected,general-ops,File browser java server page
jsql,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
jsql-injection,installed,none-detected,general-ops,Java tool for automatic database injection
juice-shop,unresolved-on-snapshot,none-detected,web-app,insecure web application
kali-autopilot,installed,none-detected,general-ops,tool for automatic attack scripts in Kali
kali-community-wallpapers,installed,none-detected,general-ops,Transitional package to install kali-wallpapers-community
kali-wallpapers-community,installed,none-detected,general-ops,Wallpapers generated by the community
kali-defaults,installed,none-detected,general-ops,Kali default settings
kali-defaults-desktop,installable-missing,none-detected,general-ops,Kali default settings for graphical desktops
kali-meta,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-desktop-core,installable-missing,none-detected,general-ops,Metapackage with dependencies common to all Kali's desktops
kali-desktop-e17,installable-missing,none-detected,general-ops,E17 based Kali desktop
kali-desktop-gnome,installable-missing,none-detected,general-ops,GNOME based Kali desktop
kali-desktop-i3,installable-missing,none-detected,general-ops,i3 based Kali desktop
kali-desktop-i3-gaps,installable-missing,none-detected,general-ops,transitional package
kali-desktop-kde,unresolved-on-snapshot,none-detected,general-ops,KDE based Kali desktop
kali-desktop-live,installable-missing,none-detected,general-ops,Kali's live images environment
kali-desktop-lxde,installable-missing,none-detected,general-ops,LXDE based Kali desktop
kali-desktop-mate,installable-missing,none-detected,general-ops,MATE based Kali desktop
kali-desktop-xfce,installable-missing,none-detected,general-ops,Xfce based Kali desktop
kali-linux-arm,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-linux-core,installed,none-detected,general-ops,Kali's core packages
kali-linux-default,installed,none-detected,general-ops,Kali's default toolset
kali-linux-everything,installed,none-detected,general-ops,Every tool in Kali Linux
kali-linux-firmware,installable-missing,none-detected,general-ops,Kali's default firmware files
kali-linux-headless,installed,none-detected,general-ops,Kali's default headless tools
kali-linux-labs,unresolved-on-snapshot,none-detected,general-ops,Test environments for learning and practising on
kali-linux-large,installed,none-detected,general-ops,Kali's extended default tool selection
kali-linux-nethunter,installable-missing,none-detected,general-ops,transitional package
kali-linux-wsl,installed,none-detected,general-ops,Kali on WSL
kali-nethunter-core,installable-missing,none-detected,general-ops,NetHunter rootfs packages - Core
kali-nethunter-full,installable-missing,none-detected,general-ops,NetHunter rootfs packages - Full variant
kali-nethunter-nano,installable-missing,none-detected,general-ops,NetHunter rootfs packages - Nano variant
kali-sbc-allwinner,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-sbc-amlogic,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-sbc-qualcomm,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-sbc-raspberrypi,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-sbc-rockchip,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-system-cli,installed,none-detected,general-ops,Kali's system CLI tools
kali-system-core,installed,none-detected,general-ops,Kali's core packages
kali-system-gui,installed,none-detected,general-ops,Kali's system GUI tools
kali-tools-802-11,installed,none-detected,general-ops,Kali's 802.11 attacks tools
kali-tools-bluetooth,installed,none-detected,wireless-rf,Kali's bluetooth attacks tools
kali-tools-crypto-stego,installed,none-detected,crypto-stego,Kali's cryptography & steganography tools
kali-tools-database,installed,none-detected,general-ops,Kali's database assessment tools menu
kali-tools-detect,installed,none-detected,general-ops,Kali's detect tools menu
kali-tools-exploitation,installed,none-detected,exploitation-c2,Kali's exploitation tools menu
kali-tools-forensics,installed,none-detected,forensics-ir,Kali's forensic tools menu
kali-tools-fuzzing,installed,none-detected,reverse-fuzzing,Kali's fuzzing attacks tools
kali-tools-gpu,installed,none-detected,general-ops,Kali's GPU tools
kali-tools-hardware,installed,none-detected,general-ops,Kali's hardware attacks tools
kali-tools-identify,installed,none-detected,general-ops,Kali's identify tools menu
kali-tools-information-gathering,installed,none-detected,general-ops,Kali's information gathering menu
kali-tools-passwords,installed,none-detected,credential-access,Kali's password cracking tools menu
kali-tools-post-exploitation,installed,none-detected,exploitation-c2,Kali's post exploitation tools menu
kali-tools-protect,installed,none-detected,general-ops,Kali's protect tools menu
kali-tools-recover,installed,none-detected,forensics-ir,Kali's recover tools menu
kali-tools-reporting,installed,none-detected,general-ops,Kali's reporting tools menu
kali-tools-respond,installed,none-detected,general-ops,Kali's respond tools menu
kali-tools-reverse-engineering,installed,none-detected,reverse-fuzzing,Kali's reverse engineering menu
kali-tools-rfid,installed,none-detected,wireless-rf,Kali's RFID tools
kali-tools-sdr,installed,none-detected,wireless-rf,Kali's SDR tools
kali-tools-sniffing-spoofing,installed,none-detected,general-ops,Kali's sniffing & spoofing tools menu
kali-tools-social-engineering,installed,none-detected,general-ops,Kali's social engineering tools menu
kali-tools-top10,installed,none-detected,general-ops,Kali's top 10 tools
kali-tools-voip,installed,none-detected,general-ops,Kali's VoIP tools
kali-tools-vulnerability,installed,none-detected,general-ops,Kali's vulnerability analysis menu
kali-tools-web,installed,none-detected,web-app,Kali's webapp assessment tools menu
kali-tools-windows-resources,installed,none-detected,general-ops,Kali's Windows resources
kali-tools-wireless,installed,none-detected,wireless-rf,Kali's wireless tools menu
kali-tweaks,installable-missing,Settings;X-XFCE-SettingsDialog;kali-services-and-other-tools,general-ops,tool to adjust advanced configuration settings for Kali Linux
kali-wallpapers,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
kali-legacy-wallpapers,installable-missing,none-detected,general-ops,Transitional package to install kali-wallpapers-legacy
kali-wallpapers-2019.4,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2019.4 and newer
kali-wallpapers-2020.4,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2020.4 and newer
kali-wallpapers-2022,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2022 and newer
kali-wallpapers-2023,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2023 and newer
kali-wallpapers-2024,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2024 and newer
kali-wallpapers-2025,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2025 and newer
kali-wallpapers-2026,installed,none-detected,general-ops,Default wallpapers for Kali Linux 2026 and newer
kali-wallpapers-all,installed,none-detected,general-ops,All wallpapers for Kali Linux
kali-wallpapers-legacy,installed,none-detected,general-ops,Wallpapers used over the years
kali-wallpapers-mobile-2023,installable-missing,none-detected,general-ops,Default wallpapers for Kali Linux Mobile 2023 and newer
kalibrate-rtl,installed,none-detected,general-ops,Calculate local oscillator frequency offset using GSM base stations
kerberoast,installed,none-detected,credential-access,tools for attacking MS Kerberos implementations
kismet,installed,none-detected,wireless-rf,wireless network and device detector (metapackage)
kismet-capture-antsdr-droneid,installed,none-detected,wireless-rf,capture driver for Kismet
kismet-capture-bladerf-wiphy,installable-missing,none-detected,wireless-rf,Kismet capture driver bladerf wiphy
kismet-capture-common,installed,none-detected,general-ops,Kismet Capture common helper
kismet-capture-freaklabs-zigbee,installed,none-detected,general-ops,Kismet Freaklabs Zigbee datasource
kismet-capture-hak5-wifi-coconut,installed,none-detected,wireless-rf,Kismet capture helper for WiFi Coconut
kismet-capture-linux-bluetooth,installed,none-detected,wireless-rf,Kismet Linux Bluetooth capture helper
kismet-capture-linux-wifi,installed,none-detected,wireless-rf,Kismet Linux Wi-Fi capture helper
kismet-capture-nrf-51822,installed,none-detected,wireless-rf,Kismet NRF51822 BTLE Sniffer capture helper
kismet-capture-nrf-52840,installed,none-detected,wireless-rf,Kismet NRF52840 BTLE Sniffer capture helper
kismet-capture-nrf-mousejack,installed,none-detected,wireless-rf,Kismet nRF MouseJack capture helper
kismet-capture-nxp-kw41z,installed,none-detected,general-ops,Kismet NXP KW41Z BTLE and Zigbee Sniffer capture helper
kismet-capture-radiacode-usb,installed,none-detected,general-ops,"capture driver for Kismet, radiacode usb"
