package,status,kali_categories,domain,summary,when_to_use,offensive_use_case,defensive_use_case,general_use_case
binwalk,installed,kali-forensics,forensics-ir,tool library for analyzing binary blobs and executable code,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
binwalk3,installed,kali-forensics,forensics-ir,tool library for analyzing binary blobs and executable code,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
bruteshark,installed,none-detected,forensics-ir,Network Forensic Analysis Tool (NFAT),"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
bulk-extractor,installed,kali-forensics,forensics-ir,Extracts information without parsing filesystem,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
chainsaw,installed,none-detected,forensics-ir,Rapidly search and hunt through Windows forensic artefacts,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
dc3dd,installed,none-detected,forensics-ir,patched version of GNU dd with forensic features,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
dcfldd,installed,none-detected,forensics-ir,enhanced version of dd for forensics and security,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
ddrescue,installed,none-detected,forensics-ir,data recovery and protection tool,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
dumpzilla,installed,none-detected,forensics-ir,Mozilla browser forensic tool,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
ext3grep,installed,none-detected,forensics-ir,tool to help recover deleted files on ext3 filesystems,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
ext4magic,installed,none-detected,forensics-ir,recover deleted files from ext3 or ext4 partitions,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
extundelete,installed,none-detected,forensics-ir,utility to recover deleted files from ext3/ext4 partition,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
fatcat,installed,none-detected,forensics-ir,"FAT filesystem explore, extract, repair, and forensic tool","Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
foremost,installed,kali-forensic-carving-tools;kali-forensics;kali-respond,forensics-ir,forensic program to recover lost files,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
forensic-artifacts,installed,none-detected,forensics-ir,knowledge base of forensic artifacts (data files),"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
forensics-colorize,installed,none-detected,forensics-ir,show differences between files using color graphics,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
galleta,installed,none-detected,forensics-ir,Internet Explorer cookie forensic analysis tool,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
guymager,installed,none-detected,forensics-ir,Forensic imaging tool based on Qt,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
hashdeep,installed,kali-forensics,forensics-ir,recursively compute hashsums or piecewise hashings,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
kali-tools-forensics,installed,none-detected,forensics-ir,Kali's forensic tools menu,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
kali-tools-recover,installed,none-detected,forensics-ir,Kali's recover tools menu,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
libafflib-dev,installed,none-detected,forensics-ir,Advanced Forensics Format Library (development files),"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
libafflib0t64,installed,none-detected,forensics-ir,Advanced Forensics Format Library,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
libsleuthkit-java,installable-missing,none-detected,forensics-ir,Java Bindings for SleuthKit,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
libtsk-dev,installable-missing,none-detected,forensics-ir,library for forensics analysis (development files),"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
libtsk23,installed,none-detected,forensics-ir,library for forensics analysis on volume and filesystem data,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
magicrescue,installed,kali-forensic-carving-tools,forensics-ir,recover files by looking for magic bytes,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
nasty,installed,none-detected,forensics-ir,tool which helps you to recover your GPG passphrase,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
pasco,installed,none-detected,forensics-ir,Internet Explorer cache forensic analysis tool,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
pdf-parser,installed,kali-pdf-forensics-tools,forensics-ir,Parses PDF files to identify fundamental elements,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
pdfid,installed,kali-pdf-forensics-tools,forensics-ir,Scans PDF files for certain PDF keywords,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
python3-artifacts,installed,none-detected,forensics-ir,knowledge base of forensic artifacts (Python 3),"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
python3-dfdatetime,installed,none-detected,forensics-ir,Digital Forensics date and time library for Python 3,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
python3-dfvfs,installed,none-detected,forensics-ir,Digital Forensics Virtual File System,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
python3-dfwinreg,installed,none-detected,forensics-ir,Digital Forensics Windows Registry library for Python 3,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
recoverdm,installed,none-detected,forensics-ir,recover files on disks with damaged sectors,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
recoverjpeg,installed,none-detected,forensics-ir,recover JFIF (JPEG) pictures and MOV movies,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
rephrase,installed,none-detected,forensics-ir,Specialized passphrase recovery tool for GnuPG,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
safecopy,installed,none-detected,forensics-ir,data recovery tool for problematic or damaged media,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
scalpel,installed,kali-forensic-carving-tools,forensics-ir,fast filesystem-independent file recovery,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
scrounge-ntfs,installed,kali-forensic-carving-tools;kali-recover,forensics-ir,Data recovery program for NTFS filesystems,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
sleuthkit,installed,kali-respond;kali-sleuth-kit-suite,forensics-ir,tools for forensics analysis on volume and filesystem data,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
snowdrop,installed,none-detected,forensics-ir,plain text watermarking and watermark recovery,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
testdisk,installed,kali-forensic-carving-tools,forensics-ir,"Partition scanner and disk recovery tool, and PhotoRec file recovery tool","Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
undbx,installed,none-detected,forensics-ir,"tool to extract, recover and undelete e-mail messages from .dbx files","Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
unhide,installed,none-detected,forensics-ir,forensic tool to find hidden processes and ports,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
unhide.rb,installed,none-detected,forensics-ir,Forensics tool to find processes hidden by rootkits,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
vinetto,installed,none-detected,forensics-ir,forensics tool to examine Thumbs.db files,"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
xplico,installed,none-detected,forensics-ir,Network Forensic Analysis Tool (NFAT),"Use when collecting, validating, and analyzing evidence from disk, memory, logs, and artifacts during investigations.",Reconstruct attacker behavior and dwell-time opportunities by tracing artifact footprints and persistence patterns.,Strengthen triage and incident response by preserving evidence integrity and accelerating root-cause attribution.,"Perform artifact extraction, timeline reconstruction, and case documentation for investigations and postmortems."
0trace,installed,none-detected,general-ops,traceroute tool that can run within an existing TCP connection,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
7zip,installed,none-detected,general-ops,7-Zip file archiver with a high compression ratio,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
7zip-standalone,installed,none-detected,general-ops,7-Zip file archiver with a high compression ratio (standalone),"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
above,installed,none-detected,general-ops,Network security sniffer for finding vulnerabilities in the network,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
aesfix,installed,none-detected,general-ops,tool for correcting bit errors in an AES key schedule,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
aeskeyfind,installed,none-detected,general-ops,tool for locating AES keys in a captured memory image,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
afflib,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
aflplusplus,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
altdns,installed,none-detected,general-ops,Subdomain discovery through alterations and permutations,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
amap,installed,none-detected,general-ops,next-generation scanning tool for pentesters,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
apache-users,installed,none-detected,general-ops,Enumerate usernames on systems with Apache UserDir module,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
apple-bleee,installed,none-detected,general-ops,scripts to show what an attacker get from Apple devices,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
arp-scan,installed,none-detected,general-ops,arp scanning and fingerprinting tool,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
arping,installed,kali-discovery;kali-remote-system-discovery,general-ops,sends IP and/or ARP pings (to the MAC address),"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
atftp,installed,none-detected,general-ops,advanced TFTP client,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
atftpd,installed,none-detected,general-ops,advanced TFTP server,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
atomic-operator,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
axel,installed,none-detected,general-ops,light command line download accelerator,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
b374k,installed,none-detected,general-ops,Remote management tool,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
berate-ap,installed,none-detected,general-ops,Script for orchestrating mana rogue Wi-Fi Access Points,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
bettercap,installed,none-detected,general-ops,"Complete, modular, portable and easily extensible MITM framework","Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
bind9,installed,none-detected,general-ops,Internet Domain Name Server,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
bind9-dnsutils,installed,none-detected,general-ops,Clients provided with BIND 9,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
bind9-host,installed,none-detected,general-ops,DNS Lookup Utility,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
